2021 super output area - lower layer,mnemonic,Total: All usual residents aged 16 years and over in employment the week before the census,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km to less than 30km,30km to less than 40km,40km to less than 60km,60km and over
Leeds 034D,E01011353,1158,106,201,61,62,32,10,8,6
Leeds 035A,E01011656,644,73,110,113,75,13,4,5,6
Leeds 035B,E01011657,498,68,74,90,55,13,1,1,5
Leeds 035C,E01011659,583,63,109,124,65,17,2,2,7
Leeds 035D,E01011661,555,78,68,117,60,9,2,4,3
Leeds 037A,E01011643,654,24,117,43,60,11,6,5,8
Leeds 037B,E01011644,596,22,71,65,57,9,8,5,7
Leeds 037C,E01011646,855,70,156,79,70,16,7,1,9
Leeds 037D,E01011647,753,115,139,51,56,7,8,3,5
Leeds 037E,E01011648,827,120,162,52,60,13,7,1,6
Leeds 038A,E01011354,619,106,163,69,51,5,5,1,6
Leeds 038B,E01011355,707,73,151,76,47,22,5,6,4
Leeds 038C,E01011357,835,121,206,64,45,6,1,3,8
Leeds 038D,E01011450,597,58,115,71,28,9,2,0,10
Leeds 039A,E01011588,949,45,98,182,83,24,2,9,5
Leeds 039B,E01011589,893,34,68,148,108,22,3,11,6
Leeds 039C,E01011590,796,18,75,121,116,30,3,8,4
Leeds 039D,E01011592,870,81,72,158,68,18,3,5,3
Leeds 039E,E01011593,1076,86,88,221,79,21,3,4,7
Leeds 040A,E01011421,612,64,167,68,39,6,5,1,7
Leeds 040B,E01011425,731,57,171,88,56,10,6,6,10
Leeds 040C,E01011658,661,76,142,99,40,12,8,3,12
Leeds 040D,E01011660,856,76,151,187,74,14,1,3,10
Leeds 040E,E01011662,490,53,152,72,48,5,4,1,10
Leeds 041A,E01011721,669,96,70,190,79,14,2,3,8
Leeds 041B,E01011722,1003,97,95,235,94,20,10,10,11
Leeds 041C,E01011723,663,107,82,138,79,11,3,4,5
Leeds 041D,E01011724,843,108,118,166,95,29,5,6,5
Leeds 042A,E01011356,1139,142,227,53,75,18,15,5,7
Leeds 042B,E01011358,672,75,178,51,43,3,4,2,12
Leeds 042C,E01011359,915,119,180,53,70,14,3,6,16
Leeds 042D,E01011360,816,174,148,47,46,20,3,3,8
Leeds 042E,E01011361,1040,219,225,59,58,21,5,3,11
Leeds 044A,E01011435,824,72,233,79,45,20,8,12,38
Leeds 044D,E01011440,806,62,255,63,50,19,4,5,24
Leeds 044E,E01011441,859,90,210,49,55,23,9,8,26
Leeds 044G,E01035040,765,77,243,78,52,16,11,13,39
Leeds 044H,E01035041,589,38,162,59,32,14,3,8,24
Leeds 045A,E01011477,1006,68,243,137,44,26,8,5,14
Leeds 045B,E01011480,846,70,177,64,51,16,2,6,11
Leeds 045C,E01011488,904,58,164,101,35,10,7,4,8
Leeds 045D,E01011489,855,49,190,112,54,12,5,1,5
Leeds 046A,E01011324,582,64,152,117,31,14,6,2,15
Leeds 046B,E01011325,842,50,106,173,52,14,7,2,9
Leeds 046C,E01011326,640,56,134,144,40,15,7,1,8
Leeds 046D,E01011332,653,77,133,150,46,7,4,3,13
Leeds 047A,E01011423,681,73,182,48,56,11,6,0,10
Leeds 047B,E01011424,728,130,180,67,53,14,7,3,8
Leeds 047C,E01011427,639,144,143,57,40,12,8,2,5
Leeds 047D,E01011431,822,176,236,76,81,12,13,5,11
Leeds 048A,E01011422,637,117,124,50,49,5,13,4,13
Leeds 048B,E01011426,574,98,118,41,48,5,24,12,7
Leeds 048C,E01011428,770,128,178,61,50,22,5,3,28
Leeds 048D,E01011429,677,126,134,54,45,13,11,6,17
Leeds 050A,E01011663,695,95,142,137,67,11,7,2,6
Leeds 050B,E01011664,584,69,97,112,47,20,4,0,7
Leeds 050C,E01011665,619,93,101,109,51,9,4,1,9
Leeds 050D,E01011667,522,87,126,86,57,4,4,2,7
Leeds 051A,E01011323,599,46,98,146,39,10,1,5,7
Leeds 051B,E01011329,842,78,106,186,49,9,2,4,7
